"id","is_get_time","name","price","secondClassCN","snapshot_time","commit_time"
"167","1767227843","奔尼帽","2167","头盔","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:37:23+00:00"
"168","1767227840","M1911","16420","手枪","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:37:20+00:00"
"169","1767227852","TG战术防弹衣","10949","护甲","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:37:32+00:00"
"170","1767227860","野战徒步背包","41565","背包","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:37:40+00:00"
"171","1767227861","轻型户外背包","7013","背包","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:37:41+00:00"
"172","1767227940","实用霰弹收束器","1411","枪口","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:39:00+00:00"
"173","1767227891","飓风D-1后握把","14209","后握把","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:38:11+00:00"
"174","1767227833","AUG突击步枪","125374","步枪","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:37:13+00:00"
"175","1767227834","CAR-15突击步枪","12303","步枪","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:37:14+00:00"
"176","1767227847","H09 防暴头盔 (破损)","83161","头盔","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:37:27+00:00"
"177","1767227852","尼龙防弹衣","3095","护甲","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:37:32+00:00"
"178","1767227855","TG-H防弹衣 (破损)","31541","护甲","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:37:35+00:00"
"179","1767227932","MP5SD特勤一体消音枪管","42884","枪管","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:38:52+00:00"
"180","1767227885","PT3死士枪托","51835","枪托","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:38:05+00:00"
"181","1767227833","M7战斗步枪","251119","步枪","2026-01-01T00:44:22.226398+00:00","2026-01-01 00:37:13+00:00"
